180605164434.515,0,A,0,128,180605164434.515180605164434.515180605164434.515180605164434.515180605164434.515180605164434.515180605164434.515180605164434.515
180605164434.528,1,A,1,512,180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528180605164434.528
180605164434.538,2,A,2,128,180605164434.538180605164434.538180605164434.538180605164434.538180605164434.538180605164434.538180605164434.538180605164434.538
180605164434.548,3,I,0,128,180605164434.548180605164434.548180605164434.548180605164434.548180605164434.548180605164434.548180605164434.548180605164434.548
180605164434.558,4,A,1,1024,180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558180605164434.558
180605164434.568,5,I,2,128,180605164434.568180605164434.568180605164434.568180605164434.568180605164434.568180605164434.568180605164434.568180605164434.568
180605164434.578,6,I,0,1024,180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578180605164434.578
180605164434.590,7,A,1,128,180605164434.590180605164434.590180605164434.590180605164434.590180605164434.590180605164434.590180605164434.590180605164434.590
180605164434.600,8,I,2,512,180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600180605164434.600
180605164434.610,9,A,0,128,180605164434.610180605164434.610180605164434.610180605164434.610180605164434.610180605164434.610180605164434.610180605164434.610
